voter_address,address_type
0x28296d868cae7d63b24c687fec1feb2677e65fe2,EOA
0x40906aea740d18c9904860c32f4467ed4115c2bb,EOA
0x0d9f97e11dfe8401a21afd8ead07a5e5df780588,EOA
0x294388d7f62065784666f797ca6919a4b8cef4ab,EOA
0x7d10c8e94b525479d67454eae52531d85cda7460,EOA
0x224b41dd9adf5697a2a18cba6ed5c95b29179a1a,EOA
0x5ec0cc2c7d2fe36f943000a4e1e8212e3dc71884,EOA
0x05bca3408a3cd85ef03c442051a4ef696cf7429d,EOA
0xef452afb3b57fbd2890636d6f9daf670e3e31f6a,EOA
0xd1080e04f04fcbc97fb754c242f0ffd381858f8c,EOA
0x8f59d415ffd78575d9c674d32ac114a41afd3d30,EOA
0x51b05c06e1079babb010c3db487634089045389a,EOA
0xa3a21e429e31a5b3edd9cf2ef050885cc9f16bee,EOA
0x82d199178f4d8d4544ea962a8c396be45d8c33ee,EOA
0x1045cee2521ef890db4467dde49aaef1dd0f09c4,EOA
0x02103c653e5b5ba453d4f8ff3d9922cf7c93d632,EOA
0x45077710b5c0515d9d1707bf638a6efb19f044b8,EOA
0xd2a79f263ec55dbc7b724ecc20fc7448d4795a0c,EOA
0xcfdea6fb6ac340b97f8b3cef4d2ef0ce011a6854,EOA
0x29ee39be789ada5cbb2051f4bdd70dd735aed7d0,EOA
0x91b8283a554e54df5b2a0ce9a786cd92171cca8d,EOA
0x641cefed261b81add34c3d007475fc032877833e,EOA
0xe06f8d2321aaa559bfcfea9f6aa5ba0bdb8b857d,EOA
0xadb39619d7c0a8cabb44560c683abe39b980ce8f,EOA
0x352668deca4e4692ec25e667c40d8e5769909bca,EOA
0x86ae33e8ff7a7f780d60347dca4f2bea0191e4e0,EOA
0xd5d028a61472ca21088f9befbeab0bd9adfb629f,EOA
0x3335cc8bda40fb5a5f8db1d0011dec98728d81e1,EOA
0xb2f456886367c8e50566377ec6d9293d4da5bb81,EOA
0xec4a6612e32230bf2771d2a371a7b062aea1e420,EOA
0xd2c025167beb13df047246ecac98622268dee82c,EOA
0x66d8137e644fb7d03eeffd6b45eef812da3dcbb3,EOA
0x02b860783d1957f9dc0870185b8bf7714eed9604,EOA
0x1ac4202d98e9a068600b9ed1f66f8d2d883d7df9,EOA
0x1e9a92c8b8fd212c01ac3c74cc7c304cd7b8fa96,EOA
0x168f87fbfe36b84e44b9d06278b2aa1cc73d7400,EOA
0x05f7f81ef8b158be44b96a3a3bd5351bdf28946c,EOA
0xb5d83d01d5872f052581a1641f6f9e1d60eb4b64,EOA
0xa0db2a2d136df0ccdc5de7bf37839d9c2b1cb976,EOA
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,EOA
0x12c80d709bec16052025569352dadf943ae15886,EOA
0x77d4d7ed546b19077720eda2be8c847a1c358125,EOA
0x4f4fc8d4a966c7bbfa6a1b21733e6307e29ef644,EOA
0x5a7ba787e7cf00f9ce55ccf2c54bf1c0c29231bf,EOA
0x522922a4b84ebbdb4763e4a26e9aabaaa5f98087,EOA
0xfda5298c357eb02ce31cfc1956a86bc6173c53d1,EOA
0x19b570af5dddb8f0f5a15c83d07a1c5153865188,EOA
0x0e26f5bd12eafae9753e2741f2dc151be894070a,EOA
0xd2e1b76f81b71304daceec93f7d55d0a2abe2307,EOA
0x59e401f19f6c802eb46efaf62ff26ff8eb362bea,EOA
0x26b14fddc9cecb3becdfb2f63bc464b6e3c4f3c0,EOA
0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,EOA
0xc51d08fe788fb593cd2e24bb35c22b2984b4d3bf,EOA
0x4e229156470863b00bb6c03a78797632921be81d,EOA
0x4762a46fb8f6a35c31edf4c63f597d08e68d6111,EOA
0x683a4f9915d6216f73d6df50151725036bd26c02,Contract
0x908e8e8084d660f8f9054aa8ad1b31380d04b08f,EOA
0xb49f8b8613be240213c1827e2e576044ffec7948,Contract
0x9f830942601761d6744ff5b3f8a8b2dedd6eb4b4,EOA
0x8dbcbd5a3936091bd881d3c52edb14fe689633a1,EOA
0x452008779b6bd5b2bcdd113d1e3f10c5e27b5cf8,EOA
0x3a25e701517e713e99818a169a39339fc3eae9d2,EOA
0x221574d41e9875b2679dcd3eb974484bcae17fbb,EOA
0xa712009036cda1f3c45d35ec1d641e4e7b7e7da7,EOA
0x77d4d7ed546b19077720eda2be8c847a1c358125,EOA
0xb83b3e9c8e3393889afb272d354a7a3bd1fbcf5c,EOA
0x871cce23f3d1fc492e4ec754ba8439259a6f0541,EOA
0x0527c1f35cfae1051e3a3c28eb2255d7f0138469,EOA
0xaa0bef150695c75da900639dc1863dd41db4ef46,EOA
0xd63fd3bc40aa46a22cb955999b2ab616752027fa,EOA
0x603f9f25ea89f465e36e2e9a9eb13289f0e7dae8,EOA
0xf6713b4702296484f34a69feb815a06b9f2ea3d3,EOA
0x944bfc819579d950be5c99c1a1dfcf89bec60d07,EOA
0xb9f1eca1d567fb0f94990bb831f473530ede36d4,EOA
0xa7b9ee6809b854dae5aaf22da2c36b25a5780897,EOA
0x073b33c5c3ba780af1e8aef1c5e253ac1305d9e5,EOA
0x8448c3e63be6920997c58b8d35ab37aed9a7e239,EOA
0xda6c2d0f44352d9f4b8ebb00606657310ea4e26b,EOA
0xefcd62a2b7c73b57c1fc9365b089d1fdabb527d7,EOA
0x31a406efbd18897c85a028ca2ad9bbf06febaa2c,EOA
0x4980fd47e77f04cc3e17d0c2cefd64f28613a2c6,EOA
0xcbaea2d41ab9694623c6b874263728ecaa0e624f,EOA
0x6b759bf480407d19c8903c16023c706868c29a2a,EOA
0xd9264b7d4b102db537f6ce4aa3a383c323b0867c,EOA
0x0ff1588d145479b384656645152e52f087a4fa19,EOA
0x0224d9be05f12a0b4476e6d209d0f651eebe6634,EOA
0xc79abb409db92eeb4bc67312221e09e66d0d3bda,EOA
0x35ee67b351beb841fb60bb3f98d3664c9c264248,EOA
0x44250e31407e99e635ce7e93682def938428dbc3,EOA
0x683a4f9915d6216f73d6df50151725036bd26c02,Contract
0xe77ab61c2a014c54bd42afa20762c0935204422e,EOA
0x6382aabc8c77bf5f3485c9c92e2325a52844d9e8,EOA
0x71e2fb38c2b9040d0014a629662b3c2b35f10d9a,EOA
0x2cc1ade245020fc5aae66ad443e1f66e01c54df1,Contract
0xfa1fffa433a0c320544b287044b20ba7ce94eaae,EOA
0xc84e602ed576c8a7d8eddf32e1d4600b3f223001,EOA
0xc52e8e631cf398afd1ffb1d35b7c0a387beeef05,EOA
0xfb27a04c861c766ad5e2804edb9374ded26f6560,EOA
0x1e5af7b64cecd78f0141450e942f19b1935c495e,EOA
0xbc1500daaff721f626ef1a4f1a8c4e333648c5a4,EOA
0x8dc40378610e6ed366a8a18202eac425920f388e,EOA
0x2d4f27d56c17df538de16e601bdc44d365d0aab3,EOA
0xec6ddd0d666202d8f4a59c4b5d98c272b0eef383,EOA
0x5bfe77c263ffeb120dcd40523473852b3bc5a932,EOA
0x3e94944430338a6dcfcc9b14d3aeb6a310eae0e3,EOA
0x372570802335134b5654b41fa5eef84548db4d79,EOA
0x06c4865ab16c9c760622f19a313a2e637e2e66a2,EOA
0x688a8db9ca265c60a4168f4df7067694c29f13f3,EOA
0xa8fa325872a3929fa7a3bbb6bc7ccfcbaadf2cfb,EOA
0x2481d8644de23e94413e8b8a38428afc4423a341,EOA
0xa5dcec366b04a127d0f4efee183346f25434d648,EOA
0x1a971436c82b6492c19992cdb7486138fcfbe3e3,EOA
0xa5da10a7be7d3e4a4ffb78a71896637213c505d5,EOA
0x0813e1b0a5b1d0d67ceac68696591f5aecc613c7,EOA
0xab8b321aef42798d47051394a26aeb212a289c2f,EOA
0x9af3a3fbb6999bb635a4843675e3e0fa98c6d16e,EOA
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,EOA
0xa0e12e5d2412313b4a417a5e71d06d242a91499c,EOA
0x91154dd96bff5a5773e9863b373f326d2ebc8afe,EOA
0x5612996f0e91ad06b96b3e9792f36434a348867c,EOA
0xcfe856e0df0f3950fb118a5ad22b4021aaa60e9f,EOA
0xa86eff1737f3f90616b5499728a5ba8bf84e2220,EOA
0x62a43123fe71f9764f26554b3f5017627996816a,EOA
0x35da5896a0c309a47220f8b1b13169a5bb145874,EOA
